carVIN,scrapeURL_Model_Year,listingDateDiff,vehicleHistUseType,vehicleHistTitleStatus,vehicleHistNumOwners,vehicleHistAccidents,transmissionType,fuelType,driveType,engineInfo,mileage,interiorColor,exteriorColor,style,location_state,car_location_latitude,car_location_longitude,mileageRating_HWY,mileageRating_CTY,monthlyPayment_USD,allFeatures,listPrice_USD,Price_Difference_Pct
5YFEPMAE9MP152390,2021,-41,Mixed Use,Clean,2,1,Automatic,Gas,FWD,1.8L Inline-4 Gas,41943,Black,Classic Silver Metallic,Sedan, NJ,40.5917149,-74.3142458,38,30,297,door handle color body color front bumper color body color grille color black mirror color body color rear bumper color body color window trim black air filtration armrests rear center with cupholders armrests rear folding floor material carpet front air conditioning automatic climate control front air conditioning zones single interior accents chrome interior accents metallic tone shift knob trim urethane steering wheel trim urethane adaptive cruise control adaptive stop and go cruise control semi automatic,17895,0
5YFEPMAE9MP154947,2021,-37,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,9899,Black,Black Sand Pearl,Sedan, FL,25.7741566,-80.1935973,38,30,331,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,19999,-0.200010000500025
5YFEPMAE9MP157928,2021,-39,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,39563,Black,Gray,Sedan, FL,25.7741566,-80.1935973,38,30,310,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,18678,0
5YFEPMAE9MP158822,2021,-107,Rental Use,Clean,1,1,Automatic,Gas,FWD,1.8L Inline-4 Gas,38524,Grey,Blueprint,Sedan, CT,41.5623178,-72.6509061,38,30,356,gas engine type regular unleaded fuel type 139 horsepower 6100 horsepower rpm 126 torque 3900 torque rpm 1 8 engine displacement inline engine configuration 4 cylinders variable valvetrain double overhead valvetrain 16 number of valves 10 69 compression ratio 30 epa city fuel economy 38 epa highway fuel economy 33 epa combined fuel economy automatic transmission type continuously variable,21495,0.646662014421959
5YFEPMAE9MP164524,2021,-57,Rental Use,Clean,1,1,Automatic,Gas,FWD,1.8L Inline-4 Gas,61403,Unknown,Unknown,Sedan, NC,35.9423833,-77.7956949,38,30,325,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,19599,0.382672585335987
5YFEPMAE9MP164846,2021,-16,Rental Use,Clean,2,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,61570,Light Gray,Celestite,Sedan, IL,42.2411344,-88.3161965,38,30,348,front wheel drive power steering abs 4 wheel disc brakes brake assist steel wheels tires front performance tires rear performance wheel covers temporary spare tire power mirror s rear defrost intermittent wipers variable speed intermittent wipers daytime running lights automatic headlights led headlights automatic highbeams,20995,2.73874732079066
5YFEPMAE9MP171926,2021,-21,Rental Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,46131,Unknown,Barcelona Red Metallic,Sedan, WI,44.5126379,-88.0125794,38,30,381,engine 1 8l i 4 dohc 16 valve valvematic transmission continuously variable cvti s engine auto stop start feature front wheel drive 4 76 axle ratio battery w run down protection gas pressurized shock absorbers front and rear anti roll bars electric power assist steering 13 2 gal fuel tank single stainless steel exhaust strut front suspension w coil springs multi link rear suspension w coil springs 4 wheel disc brakes w 4 wheel abs front vented discs brake assist hill hold control and electric parking brake tires p205 55r16 all season steel spare wheel compact spare tire mounted inside under cargo clearcoat paint,22990,5.05002174858634
5YFEPMAE9MP178567,2021,-30,Rental Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,61598,Light Gray,Black Sand Pearl,Sedan, TN,35.1460249,-90.0517638,38,30,352,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,21213,2.84731061141753
5YFEPMAE9MP182697,2021,-8,Rental Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,60724,Black,Super White,Sedan, FL,25.7741566,-80.1935973,38,30,307,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,18538,0
5YFEPMAE9MP183171,2021,-11,Frame Damage,Clean,1,1,Automatic,Gas,FWD,1.8L Inline-4 Gas,41838,Unknown,Barcelona Red Metallic,Sedan, FL,27.9836329,-82.2756468,38,30,298,gas engine type regular unleaded fuel type 139 horsepower 6100 horsepower rpm 126 torque 3900 torque rpm 1 8 engine displacement inline engine configuration 4 cylinders variable valvetrain double overhead valvetrain 16 number of valves 10 69 compression ratio 30 epa city fuel economy 38 epa highway fuel economy 33 epa combined fuel economy automatic transmission type continuously variable,17994,0.600200066688896
5YFEPMAE9MP186250,2021,-1,Mixed Use,Clean,2,1,Automatic,Gas,FWD,1.8L Inline-4 Gas,56329,Unknown,Classic Silver Metallic,Sedan, MD,38.8162451,-76.751708,38,30,357,front wheel drive power steering abs 4 wheel disc brakes brake assist steel wheels tires front performance tires rear performance wheel covers temporary spare tire power mirror s rear defrost intermittent wipers variable speed intermittent wipers daytime running lights automatic headlights led headlights automatic highbeams,21568,0
